camera,segment,kind,frame,model,n,score,mean,x1,y1,x2,y2
zenbook,close,ir,ir/frame23.pgm,full,0,,2.9,,,,
zenbook,far,rgb,rgb/rgb00.ppm,short,1,0.7575,148.0,261,256,362,357
zenbook,far,rgb,rgb/rgb00.ppm,full,1,0.9409,148.0,277,260,366,349
zenbook,far,rgb,rgb/rgb01.ppm,short,1,0.8441,149.7,268,264,361,357
zenbook,far,rgb,rgb/rgb01.ppm,full,1,0.9352,149.7,276,260,365,349
zenbook,far,rgb,rgb/rgb02.ppm,short,1,0.8150,150.3,267,264,361,358
zenbook,far,rgb,rgb/rgb02.ppm,full,1,0.9431,150.3,277,264,366,353
zenbook,far,rgb,rgb/rgb03.ppm,short,1,0.8364,149.4,268,265,361,358
zenbook,far,rgb,rgb/rgb03.ppm,full,1,0.9408,149.4,277,263,368,354
zenbook,far,rgb,rgb/rgb04.ppm,short,1,0.8197,149.5,266,264,364,362
zenbook,far,rgb,rgb/rgb04.ppm,full,1,0.9329,149.5,276,262,368,354
zenbook,far,rgb,rgb/rgb05.ppm,short,1,0.7512,149.7,266,266,362,362
zenbook,far,rgb,rgb/rgb05.ppm,full,1,0.9448,149.7,275,263,367,355
zenbook,far,rgb,rgb/rgb06.ppm,short,1,0.8119,149.7,268,262,362,356
zenbook,far,rgb,rgb/rgb06.ppm,full,1,0.9490,149.7,275,263,368,356
zenbook,far,rgb,rgb/rgb07.ppm,short,1,0.7817,149.8,268,265,365,362
zenbook,far,rgb,rgb/rgb07.ppm,full,1,0.9469,149.8,275,261,370,356
zenbook,far,ir,ir/frame00.pgm,short,0,,16.5,,,,
zenbook,far,ir,ir/frame00.pgm,full,1,0.8165,16.5,245,218,344,317
zenbook,far,ir,ir/frame01.pgm,short,0,,3.6,,,,
zenbook,far,ir,ir/frame01.pgm,full,0,,3.6,,,,
zenbook,far,ir,ir/frame02.pgm,short,0,,17.3,,,,
zenbook,far,ir,ir/frame02.pgm,full,1,0.8061,17.3,244,217,345,318
zenbook,far,ir,ir/frame03.pgm,short,0,,6.0,,,,
zenbook,far,ir,ir/frame03.pgm,full,0,,6.0,,,,
zenbook,far,ir,ir/frame04.pgm,short,0,,21.9,,,,
zenbook,far,ir,ir/frame04.pgm,full,1,0.8599,21.9,247,221,344,318
zenbook,far,ir,ir/frame05.pgm,short,0,,8.1,,,,
zenbook,far,ir,ir/frame05.pgm,full,0,,8.1,,,,
zenbook,far,ir,ir/frame06.pgm,short,0,,28.9,,,,
zenbook,far,ir,ir/frame06.pgm,full,1,0.8384,28.9,255,232,342,319
zenbook,far,ir,ir/frame07.pgm,short,0,,11.8,,,,
zenbook,far,ir,ir/frame07.pgm,full,0,,11.8,,,,
zenbook,far,ir,ir/frame08.pgm,short,0,,41.7,,,,
zenbook,far,ir,ir/frame08.pgm,full,1,0.8047,41.7,256,233,341,318
zenbook,far,ir,ir/frame09.pgm,short,0,,16.0,,,,
zenbook,far,ir,ir/frame09.pgm,full,0,,16.0,,,,
zenbook,far,ir,ir/frame10.pgm,short,0,,54.8,,,,
zenbook,far,ir,ir/frame10.pgm,full,1,0.7772,54.8,257,234,340,317
zenbook,far,ir,ir/frame11.pgm,short,0,,17.6,,,,
zenbook,far,ir,ir/frame11.pgm,full,0,,17.6,,,,
zenbook,far,ir,ir/frame12.pgm,short,0,,57.3,,,,
zenbook,far,ir,ir/frame12.pgm,full,1,0.8015,57.3,257,234,341,318
zenbook,far,ir,ir/frame13.pgm,short,0,,19.0,,,,
zenbook,far,ir,ir/frame13.pgm,full,0,,19.0,,,,
zenbook,far,ir,ir/frame14.pgm,short,0,,59.9,,,,
zenbook,far,ir,ir/frame14.pgm,full,1,0.8157,59.9,257,234,340,317
zenbook,far,ir,ir/frame15.pgm,short,0,,20.3,,,,
zenbook,far,ir,ir/frame15.pgm,full,0,,20.3,,,,
zenbook,far,ir,ir/frame16.pgm,short,0,,62.9,,,,
zenbook,far,ir,ir/frame16.pgm,full,1,0.8192,62.9,257,234,340,317
zenbook,far,ir,ir/frame17.pgm,short,0,,21.4,,,,
zenbook,far,ir,ir/frame17.pgm,full,0,,21.4,,,,
zenbook,far,ir,ir/frame18.pgm,short,0,,65.7,,,,
zenbook,far,ir,ir/frame18.pgm,full,1,0.8144,65.7,258,235,340,317
zenbook,far,ir,ir/frame19.pgm,short,0,,22.6,,,,
zenbook,far,ir,ir/frame19.pgm,full,0,,22.6,,,,
zenbook,far,ir,ir/frame20.pgm,short,0,,68.7,,,,
zenbook,far,ir,ir/frame20.pgm,full,1,0.8344,68.7,257,234,341,318
zenbook,far,ir,ir/frame21.pgm,short,0,,23.2,,,,
zenbook,far,ir,ir/frame21.pgm,full,0,,23.2,,,,
zenbook,far,ir,ir/frame22.pgm,short,0,,69.7,,,,
zenbook,far,ir,ir/frame22.pgm,full,1,0.8335,69.7,257,234,340,317
zenbook,far,ir,ir/frame23.pgm,short,0,,23.5,,,,
zenbook,far,ir,ir/frame23.pgm,full,0,,23.5,,,,
zenbook,frontal,rgb,rgb/rgb00.ppm,short,1,0.9385,146.7,289,184,466,361
zenbook,frontal,rgb,rgb/rgb00.ppm,full,1,0.9060,146.7,288,167,473,352
zenbook,frontal,rgb,rgb/rgb01.ppm,short,1,0.9203,148.0,289,183,465,359
zenbook,frontal,rgb,rgb/rgb01.ppm,full,1,0.9217,148.0,285,165,474,354
zenbook,frontal,rgb,rgb/rgb02.ppm,short,1,0.9335,147.5,288,181,467,360
zenbook,frontal,rgb,rgb/rgb02.ppm,full,1,0.9403,147.5,286,164,471,349
zenbook,frontal,rgb,rgb/rgb03.ppm,short,1,0.9411,147.1,286,183,464,361
zenbook,frontal,rgb,rgb/rgb03.ppm,full,1,0.9160,147.1,285,163,471,349
zenbook,frontal,rgb,rgb/rgb04.ppm,short,1,0.9489,147.2,286,184,464,362
zenbook,frontal,rgb,rgb/rgb04.ppm,full,1,0.9173,147.2,284,165,472,353
zenbook,frontal,rgb,rgb/rgb05.ppm,short,1,0.9507,147.3,287,183,463,359
zenbook,frontal,rgb,rgb/rgb05.ppm,full,1,0.9173,147.3,284,166,472,354
zenbook,frontal,rgb,rgb/rgb06.ppm,short,1,0.9465,147.2,286,183,463,360
zenbook,frontal,rgb,rgb/rgb06.ppm,full,1,0.9302,147.2,284,167,470,353
zenbook,frontal,rgb,rgb/rgb07.ppm,short,1,0.9459,147.4,287,185,464,362
zenbook,frontal,rgb,rgb/rgb07.ppm,full,1,0.9412,147.4,284,168,470,353
zenbook,frontal,ir,ir/frame00.pgm,short,1,0.9479,32.9,254,166,409,321
zenbook,frontal,ir,ir/frame00.pgm,full,1,0.8844,32.9,252,154,410,312
zenbook,frontal,ir,ir/frame01.pgm,short,0,,1.8,,,,
zenbook,frontal,ir,ir/frame01.pgm,full,0,,1.8,,,,
zenbook,frontal,ir,ir/frame02.pgm,short,1,0.9494,35.0,255,166,410,321
zenbook,frontal,ir,ir/frame02.pgm,full,1,0.8813,35.0,252,154,410,312
zenbook,frontal,ir,ir/frame03.pgm,short,0,,3.1,,,,
zenbook,frontal,ir,ir/frame03.pgm,full,0,,3.1,,,,
zenbook,frontal,ir,ir/frame04.pgm,short,1,0.9549,46.6,254,166,410,322
zenbook,frontal,ir,ir/frame04.pgm,full,1,0.8541,46.6,252,155,410,313
zenbook,frontal,ir,ir/frame05.pgm,short,0,,4.8,,,,
zenbook,frontal,ir,ir/frame05.pgm,full,0,,4.8,,,,
zenbook,frontal,ir,ir/frame06.pgm,short,1,0.9573,63.3,252,167,410,325
zenbook,frontal,ir,ir/frame06.pgm,full,1,0.8807,63.3,251,154,411,314
zenbook,frontal,ir,ir/frame07.pgm,short,0,,5.7,,,,
zenbook,frontal,ir,ir/frame07.pgm,full,0,,5.7,,,,
zenbook,frontal,ir,ir/frame08.pgm,short,1,0.9599,65.9,254,168,410,324
zenbook,frontal,ir,ir/frame08.pgm,full,1,0.8791,65.9,251,154,410,313
zenbook,frontal,ir,ir/frame09.pgm,short,0,,6.1,,,,
zenbook,frontal,ir,ir/frame09.pgm,full,0,,6.1,,,,
zenbook,frontal,ir,ir/frame10.pgm,short,1,0.9595,66.5,253,167,410,324
zenbook,frontal,ir,ir/frame10.pgm,full,1,0.8693,66.5,251,154,411,314
zenbook,frontal,ir,ir/frame11.pgm,short,0,,6.3,,,,
zenbook,frontal,ir,ir/frame11.pgm,full,0,,6.3,,,,
zenbook,frontal,ir,ir/frame12.pgm,short,1,0.9581,66.8,253,168,409,324
zenbook,frontal,ir,ir/frame12.pgm,full,1,0.8627,66.8,251,154,410,313
zenbook,frontal,ir,ir/frame13.pgm,short,0,,6.5,,,,
zenbook,frontal,ir,ir/frame13.pgm,full,0,,6.5,,,,
zenbook,frontal,ir,ir/frame14.pgm,short,1,0.9573,66.8,253,167,410,324
zenbook,frontal,ir,ir/frame14.pgm,full,1,0.8711,66.8,251,154,411,314
zenbook,frontal,ir,ir/frame15.pgm,short,0,,6.8,,,,
zenbook,frontal,ir,ir/frame15.pgm,full,0,,6.8,,,,
zenbook,frontal,ir,ir/frame16.pgm,short,1,0.9552,68.2,253,167,410,324
zenbook,frontal,ir,ir/frame16.pgm,full,1,0.8550,68.2,251,154,410,313
zenbook,frontal,ir,ir/frame17.pgm,short,0,,7.0,,,,
zenbook,frontal,ir,ir/frame17.pgm,full,0,,7.0,,,,
zenbook,frontal,ir,ir/frame18.pgm,short,1,0.9550,68.8,253,167,410,324
zenbook,frontal,ir,ir/frame18.pgm,full,1,0.8443,68.8,251,154,410,313
zenbook,frontal,ir,ir/frame19.pgm,short,0,,7.1,,,,
zenbook,frontal,ir,ir/frame19.pgm,full,0,,7.1,,,,
zenbook,frontal,ir,ir/frame20.pgm,short,1,0.9542,69.0,252,167,409,324
zenbook,frontal,ir,ir/frame20.pgm,full,1,0.8427,69.0,251,155,410,314
zenbook,frontal,ir,ir/frame21.pgm,short,0,,7.2,,,,
zenbook,frontal,ir,ir/frame21.pgm,full,0,,7.2,,,,
zenbook,frontal,ir,ir/frame22.pgm,short,1,0.9530,69.2,253,167,409,323
zenbook,frontal,ir,ir/frame22.pgm,full,1,0.8476,69.2,251,155,410,314
zenbook,frontal,ir,ir/frame23.pgm,short,0,,7.3,,,,
zenbook,frontal,ir,ir/frame23.pgm,full,0,,7.3,,,,
zenbook,glasses-on,rgb,rgb/rgb00.ppm,short,1,0.9471,170.7,268,183,418,333
zenbook,glasses-on,rgb,rgb/rgb00.ppm,full,1,0.8297,170.7,269,171,423,325
zenbook,glasses-on,rgb,rgb/rgb01.ppm,short,1,0.9448,172.8,269,182,418,331
zenbook,glasses-on,rgb,rgb/rgb01.ppm,full,1,0.7872,172.8,268,171,423,326
zenbook,glasses-on,rgb,rgb/rgb02.ppm,short,1,0.9558,166.1,267,181,417,331
zenbook,glasses-on,rgb,rgb/rgb02.ppm,full,1,0.8427,166.1,261,171,413,323
zenbook,glasses-on,rgb,rgb/rgb03.ppm,short,1,0.9479,161.5,266,185,417,336
zenbook,glasses-on,rgb,rgb/rgb03.ppm,full,1,0.8005,161.5,260,173,411,324
zenbook,glasses-on,rgb,rgb/rgb04.ppm,short,1,0.9538,161.6,269,185,420,336
zenbook,glasses-on,rgb,rgb/rgb04.ppm,full,1,0.8204,161.6,270,177,420,327
zenbook,glasses-on,rgb,rgb/rgb05.ppm,short,1,0.9425,162.0,269,186,417,334
zenbook,glasses-on,rgb,rgb/rgb05.ppm,full,1,0.8357,162.0,269,174,421,326
zenbook,glasses-on,rgb,rgb/rgb06.ppm,short,1,0.9412,162.7,270,184,419,333
zenbook,glasses-on,rgb,rgb/rgb06.ppm,full,1,0.7982,162.7,267,170,420,323
zenbook,glasses-on,rgb,rgb/rgb07.ppm,short,1,0.9509,162.4,271,184,422,335
zenbook,glasses-on,rgb,rgb/rgb07.ppm,full,1,0.8635,162.4,270,171,424,325
zenbook,glasses-on,ir,ir/frame00.pgm,short,1,0.9063,96.2,251,169,377,295
zenbook,glasses-on,ir,ir/frame00.pgm,full,1,0.8668,96.2,243,156,376,289
zenbook,glasses-on,ir,ir/frame01.pgm,short,0,,17.7,,,,
zenbook,glasses-on,ir,ir/frame01.pgm,full,0,,17.7,,,,
zenbook,glasses-on,ir,ir/frame02.pgm,short,1,0.9137,94.5,249,167,378,296
zenbook,glasses-on,ir,ir/frame02.pgm,full,1,0.8853,94.5,242,155,376,289
zenbook,glasses-on,ir,ir/frame03.pgm,short,0,,18.5,,,,
zenbook,glasses-on,ir,ir/frame03.pgm,full,0,,18.5,,,,
zenbook,glasses-on,ir,ir/frame04.pgm,short,1,0.9133,93.1,249,166,378,295
zenbook,glasses-on,ir,ir/frame04.pgm,full,1,0.9013,93.1,241,154,376,289
zenbook,glasses-on,ir,ir/frame05.pgm,short,0,,18.9,,,,
zenbook,glasses-on,ir,ir/frame05.pgm,full,0,,18.9,,,,
zenbook,glasses-on,ir,ir/frame06.pgm,short,1,0.9118,92.0,249,166,378,295
zenbook,glasses-on,ir,ir/frame06.pgm,full,1,0.9051,92.0,241,154,376,289
zenbook,glasses-on,ir,ir/frame07.pgm,short,0,,19.1,,,,
zenbook,glasses-on,ir,ir/frame07.pgm,full,0,,19.1,,,,
zenbook,glasses-on,ir,ir/frame08.pgm,short,1,0.9066,91.3,249,165,379,295
zenbook,glasses-on,ir,ir/frame08.pgm,full,1,0.9085,91.3,241,154,376,289
zenbook,glasses-on,ir,ir/frame09.pgm,short,0,,19.2,,,,
zenbook,glasses-on,ir,ir/frame09.pgm,full,0,,19.2,,,,
zenbook,glasses-on,ir,ir/frame10.pgm,short,1,0.9243,90.6,247,166,372,291
zenbook,glasses-on,ir,ir/frame10.pgm,full,1,0.9314,90.6,241,154,376,289
zenbook,glasses-on,ir,ir/frame11.pgm,short,0,,19.3,,,,
zenbook,glasses-on,ir,ir/frame11.pgm,full,0,,19.3,,,,
zenbook,glasses-on,ir,ir/frame12.pgm,short,1,0.9301,90.1,247,168,371,292
zenbook,glasses-on,ir,ir/frame12.pgm,full,1,0.8932,90.1,240,153,377,290
zenbook,glasses-on,ir,ir/frame13.pgm,short,0,,19.4,,,,
zenbook,glasses-on,ir,ir/frame13.pgm,full,0,,19.4,,,,
zenbook,glasses-on,ir,ir/frame14.pgm,short,1,0.9279,89.5,247,168,372,293
zenbook,glasses-on,ir,ir/frame14.pgm,full,1,0.8657,89.5,240,154,376,290
zenbook,glasses-on,ir,ir/frame15.pgm,short,0,,19.5,,,,
zenbook,glasses-on,ir,ir/frame15.pgm,full,0,,19.5,,,,
zenbook,glasses-on,ir,ir/frame16.pgm,short,1,0.9188,89.1,246,166,373,293
zenbook,glasses-on,ir,ir/frame16.pgm,full,1,0.8822,89.1,240,154,376,290
zenbook,glasses-on,ir,ir/frame17.pgm,short,0,,19.5,,,,
zenbook,glasses-on,ir,ir/frame17.pgm,full,0,,19.5,,,,
zenbook,glasses-on,ir,ir/frame18.pgm,short,1,0.9236,88.6,246,166,372,292
zenbook,glasses-on,ir,ir/frame18.pgm,full,1,0.8706,88.6,240,154,376,290
zenbook,glasses-on,ir,ir/frame19.pgm,short,0,,19.6,,,,
zenbook,glasses-on,ir,ir/frame19.pgm,full,0,,19.6,,,,
zenbook,glasses-on,ir,ir/frame20.pgm,short,1,0.9201,88.0,244,165,372,293
zenbook,glasses-on,ir,ir/frame20.pgm,full,1,0.8655,88.0,237,152,372,287
zenbook,glasses-on,ir,ir/frame21.pgm,short,0,,19.7,,,,
zenbook,glasses-on,ir,ir/frame21.pgm,full,0,,19.7,,,,
zenbook,glasses-on,ir,ir/frame22.pgm,short,1,0.9266,87.5,245,169,371,295
zenbook,glasses-on,ir,ir/frame22.pgm,full,1,0.8528,87.5,238,153,372,286
zenbook,glasses-on,ir,ir/frame23.pgm,short,0,,19.7,,,,
zenbook,glasses-on,ir,ir/frame23.pgm,full,0,,19.7,,,,
zenbook,sweep,rgb,rgb/rgb00.ppm,short,1,0.9462,173.0,262,190,411,339
zenbook,sweep,rgb,rgb/rgb00.ppm,full,1,0.8967,173.0,258,172,413,327
zenbook,sweep,rgb,rgb/rgb01.ppm,short,1,0.9517,173.7,255,190,408,343
zenbook,sweep,rgb,rgb/rgb01.ppm,full,1,0.9394,173.7,254,173,412,331
zenbook,sweep,rgb,rgb/rgb02.ppm,short,1,0.9386,173.9,267,188,417,338
zenbook,sweep,rgb,rgb/rgb02.ppm,full,1,0.8322,173.9,277,173,429,325
zenbook,sweep,rgb,rgb/rgb03.ppm,short,1,0.9461,173.6,297,194,435,332
zenbook,sweep,rgb,rgb/rgb03.ppm,full,1,0.8536,173.6,310,180,457,327
zenbook,sweep,rgb,rgb/rgb04.ppm,short,1,0.9644,172.7,317,192,451,326
zenbook,sweep,rgb,rgb/rgb04.ppm,full,1,0.8639,172.7,333,181,479,327
zenbook,sweep,rgb,rgb/rgb05.ppm,short,1,0.9236,172.4,323,193,458,328
zenbook,sweep,rgb,rgb/rgb05.ppm,full,1,0.8534,172.4,342,188,482,327
zenbook,sweep,rgb,rgb/rgb06.ppm,short,1,0.9547,172.6,322,191,453,322
zenbook,sweep,rgb,rgb/rgb06.ppm,full,1,0.8227,172.6,338,184,480,326
zenbook,sweep,rgb,rgb/rgb07.ppm,short,1,0.9458,173.7,295,189,434,328
zenbook,sweep,rgb,rgb/rgb07.ppm,full,1,0.8692,173.7,312,178,462,328
zenbook,sweep,ir,ir/frame00.pgm,short,1,0.8990,82.3,260,173,384,297
zenbook,sweep,ir,ir/frame00.pgm,full,1,0.8906,82.3,270,161,403,294
zenbook,sweep,ir,ir/frame01.pgm,short,0,,18.5,,,,
zenbook,sweep,ir,ir/frame01.pgm,full,0,,18.5,,,,
zenbook,sweep,ir,ir/frame02.pgm,short,1,0.9099,94.2,258,174,385,301
zenbook,sweep,ir,ir/frame02.pgm,full,1,0.8945,94.2,269,160,404,295
zenbook,sweep,ir,ir/frame03.pgm,short,0,,18.3,,,,
zenbook,sweep,ir,ir/frame03.pgm,full,0,,18.3,,,,
zenbook,sweep,ir,ir/frame04.pgm,short,1,0.8968,87.7,257,174,384,301
zenbook,sweep,ir,ir/frame04.pgm,full,1,0.8975,87.7,266,161,400,295
zenbook,sweep,ir,ir/frame05.pgm,short,0,,18.4,,,,
zenbook,sweep,ir,ir/frame05.pgm,full,0,,18.4,,,,
zenbook,sweep,ir,ir/frame06.pgm,short,1,0.8811,86.7,251,175,379,303
zenbook,sweep,ir,ir/frame06.pgm,full,1,0.8575,86.7,260,160,395,295
zenbook,sweep,ir,ir/frame07.pgm,short,0,,18.4,,,,
zenbook,sweep,ir,ir/frame07.pgm,full,0,,18.4,,,,
zenbook,sweep,ir,ir/frame08.pgm,short,1,0.9034,85.9,248,173,378,303
zenbook,sweep,ir,ir/frame08.pgm,full,1,0.9137,85.9,256,157,391,292
zenbook,sweep,ir,ir/frame09.pgm,short,0,,18.4,,,,
zenbook,sweep,ir,ir/frame09.pgm,full,0,,18.4,,,,
zenbook,sweep,ir,ir/frame10.pgm,short,1,0.9180,85.1,247,172,380,305
zenbook,sweep,ir,ir/frame10.pgm,full,1,0.9376,85.1,253,157,388,292
zenbook,sweep,ir,ir/frame11.pgm,short,0,,18.5,,,,
zenbook,sweep,ir,ir/frame11.pgm,full,0,,18.5,,,,
zenbook,sweep,ir,ir/frame12.pgm,short,1,0.9261,84.5,246,173,377,304
zenbook,sweep,ir,ir/frame12.pgm,full,1,0.9086,84.5,248,159,384,295
zenbook,sweep,ir,ir/frame13.pgm,short,0,,18.5,,,,
zenbook,sweep,ir,ir/frame13.pgm,full,0,,18.5,,,,
zenbook,sweep,ir,ir/frame14.pgm,short,1,0.9281,83.9,244,172,377,305
zenbook,sweep,ir,ir/frame14.pgm,full,1,0.8534,83.9,244,156,381,293
zenbook,sweep,ir,ir/frame15.pgm,short,0,,18.5,,,,
zenbook,sweep,ir,ir/frame15.pgm,full,0,,18.5,,,,
zenbook,sweep,ir,ir/frame16.pgm,short,1,0.9376,83.3,245,174,373,302
zenbook,sweep,ir,ir/frame16.pgm,full,1,0.9114,83.3,241,156,377,292
zenbook,sweep,ir,ir/frame17.pgm,short,0,,18.5,,,,
zenbook,sweep,ir,ir/frame17.pgm,full,0,,18.5,,,,
zenbook,sweep,ir,ir/frame18.pgm,short,1,0.9417,82.8,245,173,369,297
zenbook,sweep,ir,ir/frame18.pgm,full,1,0.8968,82.8,239,155,375,291
zenbook,sweep,ir,ir/frame19.pgm,short,0,,18.6,,,,
zenbook,sweep,ir,ir/frame19.pgm,full,0,,18.6,,,,
zenbook,sweep,ir,ir/frame20.pgm,short,1,0.9449,82.4,244,174,369,299
zenbook,sweep,ir,ir/frame20.pgm,full,1,0.9168,82.4,237,156,373,292
zenbook,sweep,ir,ir/frame21.pgm,short,0,,18.6,,,,
zenbook,sweep,ir,ir/frame21.pgm,full,0,,18.6,,,,
zenbook,sweep,ir,ir/frame22.pgm,short,1,0.9372,82.0,242,174,368,300
zenbook,sweep,ir,ir/frame22.pgm,full,1,0.8671,82.0,232,156,368,292
zenbook,sweep,ir,ir/frame23.pgm,short,0,,18.8,,,,
zenbook,sweep,ir,ir/frame23.pgm,full,0,,18.8,,,,
nexigo,close,rgb,rgb/rgb00.ppm,short,1,0.9123,149.2,180,159,457,436
nexigo,close,rgb,rgb/rgb00.ppm,full,1,0.9250,149.2,182,143,464,425
nexigo,close,rgb,rgb/rgb01.ppm,short,1,0.9306,149.5,185,158,459,432
nexigo,close,rgb,rgb/rgb01.ppm,full,1,0.8983,149.5,184,144,460,420
nexigo,close,rgb,rgb/rgb02.ppm,short,1,0.9259,149.8,181,157,457,433
nexigo,close,rgb,rgb/rgb02.ppm,full,1,0.9154,149.8,185,145,461,421
nexigo,close,rgb,rgb/rgb03.ppm,short,1,0.9362,149.6,185,160,447,422
nexigo,close,rgb,rgb/rgb03.ppm,full,1,0.8972,149.6,181,139,461,419
nexigo,close,rgb,rgb/rgb04.ppm,short,1,0.9422,149.8,187,161,451,425
nexigo,close,rgb,rgb/rgb04.ppm,full,1,0.8839,149.8,182,145,457,420
nexigo,close,rgb,rgb/rgb05.ppm,short,1,0.9343,149.8,183,160,452,429
nexigo,close,rgb,rgb/rgb05.ppm,full,1,0.8916,149.8,181,139,460,418
nexigo,close,rgb,rgb/rgb06.ppm,short,1,0.9356,149.6,181,160,452,431
nexigo,close,rgb,rgb/rgb06.ppm,full,1,0.8680,149.6,182,148,457,423
nexigo,close,rgb,rgb/rgb07.ppm,short,1,0.9496,149.2,188,162,456,430
nexigo,close,rgb,rgb/rgb07.ppm,full,1,0.8713,149.2,176,142,456,422
nexigo,close,ir,ir/frame00.pgm,short,0,,4.1,,,,
nexigo,close,ir,ir/frame00.pgm,full,0,,4.1,,,,
